id,title,year,rating,votes,budget,gross_world_wide,gross_us_canada,opening_weekend_gross,genres,production_companies,wins,nominations,oscars
tt19623240,Winnie-the-Pooh: Blood and Honey,2023,2.9,33K,100000.0,7717044.0,2082898.0,652482.0,"['Monster Horror', 'Slasher Horror', 'Horror']","['ITN Distribution', 'Jagged Edge Productions']",0,0,0
tt6979756,Creation of the Gods I: Kingdom of Storms,2023,6.7,4.8K,800000000.0,373021923.0,1706355.0,931140.0,"['Fantasy Epic', 'Martial Arts', 'Adventure', 'Drama', 'Fantasy']","['Tencent Pictures', 'Beijing Culture', 'Mongketengri Pictures']",0,44,0
tt7130916,Dicks: The Musical,2023,5.3,3.6K,12000000.0,1472114.0,1453012.0,201951.0,"['Comedy', 'Musical']","['Chernin Entertainment', 'Twentieth Century Fox']",0,5,0
tt5198890,Eileen,2023,5.9,16K,16000000.0,1673665.0,1435007.0,93290.0,"['Period Drama', 'Prison Drama', 'Psychological Drama', 'Psychological Thriller', 'Workplace Drama', 'Drama', 'Mystery', 'Romance', 'Thriller']","['Fifth Season', 'Film4', 'Likely Story']",0,8,0
tt20879602,Maybe I Do,2023,5.0,10K,7500000.0,4450096.0,1293722.0,546060.0,"['Comedy', 'Romance']","['Fifth Season', 'Vincent Newman Entertainment']",0,0,0
tt6528290,Knights of the Zodiac,2023,4.4,15K,60000000.0,6986177.0,1090155.0,557533.0,"['Martial Arts', 'Superhero', 'Action', 'Adventure', 'Drama', 'Fantasy', 'Sci-Fi']","['Stage 6 Films', 'Toei Animation', 'Convergence Entertainment']",0,0,0
tt14561712,La Chimera,2023,7.3,15K,9600000.0,5232815.0,1004503.0,44511.0,"['Period Drama', 'Adventure', 'Comedy', 'Fantasy', 'Romance']","['Tempesta', 'Rai Cinema', 'Ad Vitam Production']",0,45,0
tt16565742,Hidden Blade,2023,6.3,6.6K,300000000.0,1384593.0,803189.0,296337.0,"['Period Drama', 'Drama', 'History', 'Thriller']","['Bona Film Group', 'Cutting Edge Pictures']",0,31,0
tt18363072,The Royal Hotel,2023,5.8,13K,10000000.0,1366715.0,780263.0,331010.0,"['Psychological Thriller', 'Thriller']","['Universal Pictures', 'Screen Australia', 'The South Australian Film Corporation']",0,22,0
tt2365971,Sweetwater,2023,6.0,1.4K,8000000.0,541633.0,541633.0,351010.0,"['Basketball', 'Docudrama', 'Biography', 'Drama', 'Sport']","['Sunset Pictures', 'Reserve Entertainment', 'Astrablu Media']",0,3,0
tt14407336,The Beast,2023,6.5,7.9K,7520000.0,760979.0,413978.0,42823.0,"['Drama', 'Romance', 'Sci-Fi', 'Thriller']","['Les Films du Bélier', 'My New Picture', 'Arte France Cinéma']",0,21,0
tt19864828,Memory,2023,6.7,8K,100000.0,2036166.0,381052.0,36356.0,['Drama'],"['High Frequency Entertainment', 'Teorema', 'Case Study Films']",0,5,0
tt5822848,The Inventor,2023,5.7,750,10000000.0,2055868.0,306385.0,190031.0,"['Stop Motion Animation', 'Adventure', 'Animation', 'Comedy', 'Family']","['Leo and King', 'Aerial Contrivance Workshop', 'Align']",0,3,0
tt20561198,The Promised Land,2023,7.7,29K,8500000.0,2246680.0,257749.0,121505.0,"['Epic', 'Historical Epic', 'Action', 'Biography', 'Drama', 'History']","['Zentropa Entertainments', 'Zentropa International Berlin', 'Zentropa International Sweden']",0,17,0
tt15332976,I Can,2023,6.6,1.7K,100000.0,233110.0,233110.0,140005.0,"['Drama', 'Family', 'Sport']","['First Capital Films', 'Kappa Studios']",0,4,0
tt15783520,On Fire,2023,5.2,1.6K,4000000.0,245325.0,205118.0,134825.0,"['Drama', 'Mystery', 'Thriller']","['Lone Star Storytellers', 'Media Group', 'SC Films International']",0,0,0
tt26915336,Mars Express,2023,7.5,10K,9000000.0,1534099.0,200581.0,94738.0,"['Adult Animation', 'Artificial Intelligence', 'Cyber Thriller', 'Action', 'Animation', 'Mystery', 'Sci-Fi', 'Thriller']","['Everybody on the Deck', 'Je Suis Bien Content', 'Ev.L Prod']",0,8,0
tt28567651,Unit 262,2023,1.6,189,300000.0,160357.0,160357.0,73234.0,['Action'],['Dogpile Productions'],0,0,0
tt11908172,The Kill Room,2023,5.5,8K,6500000.0,994105.0,139358.0,82891.0,"['Comedy', 'Thriller']","['Yale Productions', 'BKStudios', 'BondIt Media Capital']",0,0,0
